class_oog_key,ring,ring_no,ring_day_no,class_order,class_no,class_label,class_number,class_payout,class_name,entry_order,entry_no,horse,rider,trainer,source_endpoint,source_payload
29237|146,,670,,,29237,,,,,1,146,Tulara Cascara,Aaron Vale,Ben Taylor,class_oog.php,
29237|123,,670,,,29237,,,,,2,123,Cordis Totalis Z,Selcuk Koksalan,Selcuk Koksalan,class_oog.php,
29237|153,,670,,,29237,,,,,3,153,Champion League,Sharn L. Wordley,Sharn L. Wordley,class_oog.php,
29237|114,,670,,,29237,,,,,4,114,Mestizo Ls,Lukene Arenas,Lukene Arenas,class_oog.php,
29237|104,,670,,,29237,,,,,5,104,Helia Ffh,Kyle Dewar,Kyle Dewar,class_oog.php,
29237|158,,670,,,29237,,,,,6,158,Icare Chavannais,Priscilla Broger,Priscilla Broger,class_oog.php,
29237|132,,670,,,29237,,,,,7,132,Hop Mouche,Laura Gaither,Laura Gaither,class_oog.php,
29237|160,,670,,,29237,,,,,8,160,The Golden Road,Camille Maynard,Camille Maynard,class_oog.php,
29237|111,,670,,,29237,,,,,9,111,Cascais Hc,Juan J. Bancalari,Juan M. Bolanos,class_oog.php,
29237|126,,670,,,29237,,,,,10,126,Hendrick Des Forets,Jodie Camberg,Megan Wexler,class_oog.php,
29237|115,,670,,,29237,,,,,11,115,Goliath De L’ Eldorado,Declan Egan,Declan Egan,class_oog.php,
29237|106,,670,,,29237,,,,,12,106,Kadar Hbc,Simon Arango,Juan M. Bolanos,class_oog.php,
29237|147,,670,,,29237,,,,,13,147,Effixe Du Melnire,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php,
29237|155,,670,,,29237,,,,,14,155,Nimbus Rfb,Aaron Vale,Ben Taylor,class_oog.php,
29237|159,,670,,,29237,,,,,15,159,S&l Protector,Ciaran Flynn,Michael J. Mccormick,class_oog.php,
29237|156,,670,,,29237,,,,,16,156,Yalambis Ikon,Maddison Stephen,Maddison Stephen,class_oog.php,
29237|124,,670,,,29237,,,,,17,124,Montecristo,Selcuk Koksalan,Selcuk Koksalan,class_oog.php,
29237|154,,670,,,29237,,,,,18,154,Hagelin,Sharn L. Wordley,Sharn L. Wordley,class_oog.php,
29237|103,,670,,,29237,,,,,19,103,Hutin De L'abbaye,Kyle Dewar,Kyle Dewar,class_oog.php,
29237|120,,670,,,29237,,,,,20,120,Charly Brown 353,Maya Denis,Megan Wexler,class_oog.php,
29237|105,,670,,,29237,,,,,21,105,Hopefull Menjoulet,Taylor St Jacques,Taylor St Jacques,class_oog.php,
29237|125,,670,,,29237,,,,,22,125,Conthinder,Sophia Ayers,Ben Taylor,class_oog.php,
29237|108,,670,,,29237,,,,,23,108,Chriszi,David Cameron,David Cameron,class_oog.php,
29237|134,,670,,,29237,,,,,24,134,Hollywood V,Amanda Gomez,Pamela Gomez,class_oog.php,
29237|107,,670,,,29237,,,,,25,107,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,class_oog.php,
29237|157,,670,,,29237,,,,,26,157,Verdini D'houtveld Z,Lauren Balcomb,Sharn L. Wordley,class_oog.php,
29237|141,,670,,,29237,,,,,27,141,Sternmarke 3,Wilton J. Porter,Wilton J. Porter,class_oog.php,
29237|151,,670,,,29237,,,,,28,151,Contigo Z,Samuel Parot,Samuel Parot,class_oog.php,
29237|143,,670,,,29237,,,,,29,143,Pmf Inventiv,Angela Swanson,Angela Swanson,class_oog.php,
29237|145,,670,,,29237,,,,,30,145,Chutter Du Rouet Ps,Aaron Vale,Ben Taylor,class_oog.php,
29237|113,,670,,,29237,,,,,31,113,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,class_oog.php,
29237|133,,670,,,29237,,,,,32,133,My Diamant,Laura Gaither,Laura Gaither,class_oog.php,
28941|162,,670,,,28941,,,,,1,162,Hakatann De Lojou,Ashlee Bond,Ashlee Bond,class_oog.php,
28941|146,,670,,,28941,,,,,2,146,Tulara Cascara,Aaron Vale,Ben Taylor,class_oog.php,
28941|120,,670,,,28941,,,,,3,120,Charly Brown 353,Maya Denis,Megan Wexler,class_oog.php,
28941|108,,670,,,28941,,,,,4,108,Chriszi,David Cameron,David Cameron,class_oog.php,
28941|154,,670,,,28941,,,,,5,154,Hagelin,Sharn L. Wordley,Sharn L. Wordley,class_oog.php,
28941|161,,670,,,28941,,,,,6,161,Jason Brown,Flavio Montenegro,Ben Taylor,class_oog.php,
28941|122,,670,,,28941,,,,,7,122,Feinschnitt,Dominique Gonzalez,Terry Gonzalez,class_oog.php,
28941|112,,670,,,28941,,,,,8,112,Fraxinus Des Coeuries,Juan J. Bancalari,Juan M. Bolanos,class_oog.php,
28941|129,,670,,,28941,,,,,9,129,Mtm Can Talk To Me,Tracy Fenney,Michael J. Mccormick,class_oog.php,
