class_start_key,show_no,focus_day,ring_day_no,ring_no,ring_name,class_no,class_name,class_start_time,entry_count
14906|2026-06-10|3860|29237|08:00:00,14906,2026-06-10,3860,670,WEC GRAND ARENA,29237,4CYTE 1.40m CSI2* Two Phase 222.1.4.3,08:00:00,29
14906|2026-06-10|3860|28941|10:00:00,14906,2026-06-10,3860,670,WEC GRAND ARENA,28941,4CYTE 1.45m CSI2* Speed 220.2.1.1,10:00:00,27
14906|2026-06-10|3860|29134|11:45:00,14906,2026-06-10,3860,670,WEC GRAND ARENA,29134,1.35m Jumper II.1,11:45:00,71
14906|2026-06-10|3860|29172|14:45:00,14906,2026-06-10,3860,670,WEC GRAND ARENA,29172,1.30m Young Jumper II.1,14:45:00,28
14906|2026-06-10|4174|29164|07:30:00,14906,2026-06-10,4174,684,INDOOR 6,29164,1.15m Jumper II.1,07:30:00,45
14906|2026-06-10|4174|29128|10:00:00,14906,2026-06-10,4174,684,INDOOR 6,29128,1.20m Jumper II.1,10:00:00,60
14906|2026-06-10|4174|29131|13:00:00,14906,2026-06-10,4174,684,INDOOR 6,29131,1.30m Jumper II.1,13:00:00,23
14906|2026-06-10|4174|29169|14:30:00,14906,2026-06-10,4174,684,INDOOR 6,29169,1.20m Young Jumper II.1,14:30:00,21
14906|2026-06-10|4174|29166|16:00:00,14906,2026-06-10,4174,684,INDOOR 6,29166,1.10m Young Jumper II,16:00:00,23
14906|2026-06-10|4182|29394|08:00:00,14906,2026-06-10,4182,683,INDOOR 5,29394,.95m Jumper II.1,08:00:00,25
14906|2026-06-10|4182|29159|09:30:00,14906,2026-06-10,4182,683,INDOOR 5,29159,1.00m Jumper II.1,09:30:00,47
14906|2026-06-10|4182|29125|09:30:00,14906,2026-06-10,4182,683,INDOOR 5,29125,1.0m Thoroughbred Jumper II.1,09:30:00,2
14906|2026-06-10|4182|29161|23:45:00,14906,2026-06-10,4182,683,INDOOR 5,29161,1.10m Jumper II.1,23:45:00,31
14906|2026-06-10|4182|29451|13:30:00,14906,2026-06-10,4182,683,INDOOR 5,29451,1.0m Young Jumpers II,13:30:00,11
14906|2026-06-10|4182|29433|14:15:00,14906,2026-06-10,4182,683,INDOOR 5,29433,.90m Young Jumpers II,14:15:00,13
14906|2026-06-10|3889|33493|08:30:00,14906,2026-06-10,3889,675,INDOOR 1,33493,High Perf 4'/Perf Hunter 3'6,08:30:00,6
14906|2026-06-10|3889|33494|08:30:00,14906,2026-06-10,3889,675,INDOOR 1,33494,High Perf 4'/Perf Hunter 3'6,08:30:00,6
14906|2026-06-10|3889|29071|09:30:00,14906,2026-06-10,3889,675,INDOOR 1,29071,USHJA Hunter 3'3,09:30:00,13
14906|2026-06-10|3889|29072|09:30:00,14906,2026-06-10,3889,675,INDOOR 1,29072,USHJA Hunter 3'3,09:30:00,13
14906|2026-06-10|3889|29297|09:30:00,14906,2026-06-10,3889,675,INDOOR 1,29297,Green Hunter 3'3,09:30:00,8
14906|2026-06-10|3889|29298|09:30:00,14906,2026-06-10,3889,675,INDOOR 1,29298,Green Hunter 3'3,09:30:00,8
14906|2026-06-10|3889|29301|12:00:00,14906,2026-06-10,3889,675,INDOOR 1,29301,Green Hunter 3'3,12:00:00,8
14906|2026-06-10|3889|29327|12:30:00,14906,2026-06-10,3889,675,INDOOR 1,29327,Performance Hunter 3'3,12:30:00,13
14906|2026-06-10|3889|29328|12:30:00,14906,2026-06-10,3889,675,INDOOR 1,29328,Performance Hunter 3'3,12:30:00,12
14906|2026-06-10|3889|29331|,14906,2026-06-10,3889,675,INDOOR 1,29331,Performance Hunter 3'3,,5
14906|2026-06-10|3895|29066|08:00:00,14906,2026-06-10,3895,676,INDOOR 2,29066,USHJA Hunter 3',08:00:00,11
14906|2026-06-10|3895|29067|08:00:00,14906,2026-06-10,3895,676,INDOOR 2,29067,USHJA Hunter 3',08:00:00,11
14906|2026-06-10|3895|29302|08:00:00,14906,2026-06-10,3895,676,INDOOR 2,29302,Green Hunter 3'0,08:00:00,8
14906|2026-06-10|3895|29303|08:00:00,14906,2026-06-10,3895,676,INDOOR 2,29303,Green Hunter 3'0,08:00:00,8
14906|2026-06-10|3895|29306|10:00:00,14906,2026-06-10,3895,676,INDOOR 2,29306,Green Hunter 3'0,10:00:00,8
14906|2026-06-10|3895|29264|10:30:00,14906,2026-06-10,3895,676,INDOOR 2,29264,USHJA Hunter 2'9,10:30:00,21
14906|2026-06-10|3895|29263|10:30:00,14906,2026-06-10,3895,676,INDOOR 2,29263,USHJA Hunter 2'9,10:30:00,20
14906|2026-06-10|3895|29260|12:45:00,14906,2026-06-10,3895,676,INDOOR 2,29260,USHJA Hunter 2'9,12:45:00,12
14906|2026-06-10|3895|29312|13:15:00,14906,2026-06-10,3895,676,INDOOR 2,29312,Young Hunter 2'9,13:15:00,4
14906|2026-06-10|3895|29313|13:15:00,14906,2026-06-10,3895,676,INDOOR 2,29313,Young Hunter 2'9,13:15:00,4
14906|2026-06-10|3895|29316|13:45:00,14906,2026-06-10,3895,676,INDOOR 2,29316,Young Hunter 2'9,13:45:00,4
14906|2026-06-10|3895|29317|14:00:00,14906,2026-06-10,3895,676,INDOOR 2,29317,Young Hunter 3',14:00:00,4
14906|2026-06-10|3895|29318|14:00:00,14906,2026-06-10,3895,676,INDOOR 2,29318,Young Hunter 3',14:00:00,4
14906|2026-06-10|3895|29321|14:30:00,14906,2026-06-10,3895,676,INDOOR 2,29321,Young Hunter 3' U/S,14:30:00,4
14906|2026-06-10|3895|29322|14:45:00,14906,2026-06-10,3895,676,INDOOR 2,29322,Young Hunter 3'3,14:45:00,3
14906|2026-06-10|3895|29323|14:45:00,14906,2026-06-10,3895,676,INDOOR 2,29323,Young Hunter 3'3,14:45:00,3
14906|2026-06-10|3895|29326|,14906,2026-06-10,3895,676,INDOOR 2,29326,Young Hunter 3'3,,3
14906|2026-06-10|3907|29061|08:30:00,14906,2026-06-10,3907,678,INDOOR 4,29061,USHJA Hunter 2'6,08:30:00,21
14906|2026-06-10|3907|29062|08:30:00,14906,2026-06-10,3907,678,INDOOR 4,29062,USHJA Hunter 2'6,08:30:00,20
14906|2026-06-10|3907|29046|08:30:00,14906,2026-06-10,3907,678,INDOOR 4,29046,Baby Green Hunter 2'6,08:30:00,7
14906|2026-06-10|3907|29047|08:30:00,14906,2026-06-10,3907,678,INDOOR 4,29047,Baby Green Hunter 2'6',08:30:00,7
14906|2026-06-10|3907|29065|11:45:00,14906,2026-06-10,3907,678,INDOOR 4,29065,USHJA Hunter 2'6,11:45:00,11
14906|2026-06-10|3907|29056|12:15:00,14906,2026-06-10,3907,678,INDOOR 4,29056,USHJA Hunter 2'3,12:15:00,12
14906|2026-06-10|3907|29057|12:15:00,14906,2026-06-10,3907,678,INDOOR 4,29057,USHJA Hunter 2'3,12:15:00,11
14906|2026-06-10|4293|33485|08:48:00,14906,2026-06-10,4293,737,JUMPER ANNEX,33485,Ticketed Schooling- Wednesday Jumper Annex 8:00am-3:00pm,08:48:00,1
14906|2026-06-10|4295|29408|08:00:00,14906,2026-06-10,4295,750,HUNTER 2,29408,Ticketed Schooling- Wednesday Hunter 2 8am- 3:00pm,08:00:00,3
