class_no,class_number,class_payout,class_name,class_label,source
29275,1,,High Performance Conformation Hunter-Model,1) High Performance Conformation Hunter-Model,counts.php
29276,2,,$500 High Performance Conformation Hunter,2) $500 High Performance Conformation Hunter,counts.php
29277,3,,$500 High Performance Conformation Hunter,3) $500 High Performance Conformation Hunter,counts.php
29278,4,,$500 High Performance Conformation Hunter,4) $500 High Performance Conformation Hunter,counts.php
29279,5,,$500 High Performance Conformation Hunter-Handy,5) $500 High Performance Conformation Hunter-Handy,counts.php
29280,6,,$200 High Performance Conformation Hunter U/S,6) $200 High Performance Conformation Hunter U/S,counts.php
29281,7,,Green Conformation Hunter-Model,7) Green Conformation Hunter-Model,counts.php
29282,8,,$400 Green Conformation Hunter,8) $400 Green Conformation Hunter,counts.php
29283,9,,$400 Green Conformation Hunter,9) $400 Green Conformation Hunter,counts.php
29284,10,,$400 Green Conformation Hunter,10) $400 Green Conformation Hunter,counts.php
29285,11,,$400 Green Conformation Hunter-Handy,11) $400 Green Conformation Hunter-Handy,counts.php
29286,12,,$150 Green Conformation Hunter U/S,12) $150 Green Conformation Hunter U/S,counts.php
29311,13,,$700 High Performance Hunter 4',13) $700 High Performance Hunter 4',counts.php
29310,14,,$700 High Performance Hunter 4',14) $700 High Performance Hunter 4',counts.php
29309,15,,$700 High Performance Hunter 4',15) $700 High Performance Hunter 4',counts.php
29308,16,,$700 High Performance Hunter-Handy 4',16) $700 High Performance Hunter-Handy 4',counts.php
29307,17,,$300 High Performance Hunter U/S 4',17) $300 High Performance Hunter U/S 4',counts.php
29287,18,,"$600 Green Hunter 3'9""","18) $600 Green Hunter 3'9""",counts.php
29288,19,,"$600 Green Hunter 3'9""","19) $600 Green Hunter 3'9""",counts.php
29289,20,,"$600 Green Hunter 3'9"" (Incentive Score)","20) $600 Green Hunter 3'9"" (Incentive Score)",counts.php
29290,21,,"$600 Green Hunter 3'9""-Handy","21) $600 Green Hunter 3'9""-Handy",counts.php
29291,22,,"$200 Green Hunter 3'9"" U/S","22) $200 Green Hunter 3'9"" U/S",counts.php
29292,23,,"$600 Green Hunter 3'6""","23) $600 Green Hunter 3'6""",counts.php
29293,24,,"$600 Green Hunter 3'6""","24) $600 Green Hunter 3'6""",counts.php
29294,25,,"$600 Green Hunter 3'6"" (Incentive Score)","25) $600 Green Hunter 3'6"" (Incentive Score)",counts.php
29295,26,,"$600 Green Hunter 3'6""-Handy","26) $600 Green Hunter 3'6""-Handy",counts.php
29296,27,,"$200 Green Hunter 3'6"" U/S","27) $200 Green Hunter 3'6"" U/S",counts.php
29297,28,,"$350 Green Hunter 3'3""","28) $350 Green Hunter 3'3""",counts.php
29298,29,,"$350 Green Hunter 3'3""","29) $350 Green Hunter 3'3""",counts.php
29299,30,,"$350 Green Hunter 3'3"" (Incentive Score)","30) $350 Green Hunter 3'3"" (Incentive Score)",counts.php
29300,31,,"$350 Green Hunter 3'3""","31) $350 Green Hunter 3'3""",counts.php
29301,32,,"$150 Green Hunter 3'3"" U/S","32) $150 Green Hunter 3'3"" U/S",counts.php
29302,33,,"$350 Green Hunter 3'0""","33) $350 Green Hunter 3'0""",counts.php
29303,34,,"$350 Green Hunter 3'0""","34) $350 Green Hunter 3'0""",counts.php
29304,35,,"$350 Green Hunter 3'0"" (Incentive Score)","35) $350 Green Hunter 3'0"" (Incentive Score)",counts.php
29305,36,,"$350 Green Hunter 3'0""","36) $350 Green Hunter 3'0""",counts.php
29306,37,,"$150 Green Hunter 3'0"" U/S","37) $150 Green Hunter 3'0"" U/S",counts.php
29332,38,,"$400 Performance Hunter 3'6""","38) $400 Performance Hunter 3'6""",counts.php
29382,39,,"$400 Performance Hunter 3'6""","39) $400 Performance Hunter 3'6""",counts.php
29383,40,,"$400 Performance Hunter 3'6""","40) $400 Performance Hunter 3'6""",counts.php
29384,41,,"$400 Performance Hunter 3'6""-Handy","41) $400 Performance Hunter 3'6""-Handy",counts.php
29385,42,,"$150 Performance Hunter 3'6"" U/S","42) $150 Performance Hunter 3'6"" U/S",counts.php
29327,43,,"$350 Performance Hunter 3'3""","43) $350 Performance Hunter 3'3""",counts.php
29328,44,,"$350 Performance Hunter 3'3""","44) $350 Performance Hunter 3'3""",counts.php
29329,45,,"$350 Performance Hunter 3'3""","45) $350 Performance Hunter 3'3""",counts.php
29330,46,,"$350 Performance Hunter 3'3""-Handy","46) $350 Performance Hunter 3'3""-Handy",counts.php
29331,47,,"$150 Performance Hunter 3'3"" U/S","47) $150 Performance Hunter 3'3"" U/S",counts.php
29312,48,,"$350 Young Hunter 2'9""","48) $350 Young Hunter 2'9""",counts.php
29313,49,,"$350 Young Hunter 2'9""","49) $350 Young Hunter 2'9""",counts.php
29314,50,,"$350 Young Hunter 2'9""","50) $350 Young Hunter 2'9""",counts.php
29315,51,,"$350 Young Hunter 2'9""","51) $350 Young Hunter 2'9""",counts.php
29316,52,,"$150 Young Hunter 2'9"" U/S","52) $150 Young Hunter 2'9"" U/S",counts.php
29317,53,,$350 Young Hunter 3',53) $350 Young Hunter 3',counts.php
29318,54,,$350 Young Hunter 3',54) $350 Young Hunter 3',counts.php
29319,55,,$350 Young Hunter 3',55) $350 Young Hunter 3',counts.php
29320,56,,$350 Young Hunter 3',56) $350 Young Hunter 3',counts.php
29321,57,,$150 Young Hunter 3' U/S,57) $150 Young Hunter 3' U/S,counts.php
29322,58,,"$350 Young Hunter 3'3""","58) $350 Young Hunter 3'3""",counts.php
29323,59,,"$350 Young Hunter 3'3""","59) $350 Young Hunter 3'3""",counts.php
29324,60,,"$350 Young Hunter 3'3""","60) $350 Young Hunter 3'3""",counts.php
29325,61,,"$350 Young Hunter 3'3""","61) $350 Young Hunter 3'3""",counts.php
29326,62,,"$150 Young Hunter 3'3"" U/S","62) $150 Young Hunter 3'3"" U/S",counts.php
29386,80,,"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs","80) $600 Amateur Owner Hunter 3'6"" 18-35 Yrs",counts.php
29387,81,,"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs (1st rnd Classic)","81) $600 Amateur Owner Hunter 3'6"" 18-35 Yrs (1st rnd Classic)",counts.php
29388,82,,"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs","82) $600 Amateur Owner Hunter 3'6"" 18-35 Yrs",counts.php
29333,83,,"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs-Handy","83) $600 Amateur Owner Hunter 3'6"" 18-35 Yrs-Handy",counts.php
29334,84,,"$350 Amateur Owner Hunter 3'6"" 18-35 Yrs U/S","84) $350 Amateur Owner Hunter 3'6"" 18-35 Yrs U/S",counts.php
29335,85,,"$600 Amateur Owner Hunter 3'6"" 36+","85) $600 Amateur Owner Hunter 3'6"" 36+",counts.php
29336,86,,"$600 Amateur Owner Hunter 3'6"" 36+ (1st rnd Classic)","86) $600 Amateur Owner Hunter 3'6"" 36+ (1st rnd Classic)",counts.php
29337,87,,"$600 Amateur Owner Hunter 3'6"" 36+","87) $600 Amateur Owner Hunter 3'6"" 36+",counts.php
29338,88,,"$600 Amateur Owner Hunter 3'6"" 36+-Handy","88) $600 Amateur Owner Hunter 3'6"" 36+-Handy",counts.php
29339,89,,"$350 Amateur Owner Hunter 3'6"" 36+ U/S","89) $350 Amateur Owner Hunter 3'6"" 36+ U/S",counts.php
29340,90,,"$400 Amateur Owner Hunter 3'3"" 18-35","90) $400 Amateur Owner Hunter 3'3"" 18-35",counts.php
29341,91,,"$400 Amateur Owner Hunter 3'3"" 18-35 Years (1st rnd Classic","91) $400 Amateur Owner Hunter 3'3"" 18-35 Years (1st rnd Classic",counts.php
29342,92,,"$400 Amateur Owner Hunter 3'3"" 18-35","92) $400 Amateur Owner Hunter 3'3"" 18-35",counts.php
29343,93,,"$400 Amateur Owner Hunter 3'3"" 18-35 Years-Handy","93) $400 Amateur Owner Hunter 3'3"" 18-35 Years-Handy",counts.php
29344,94,,"$200 Amateur Owner Hunter 3'3"" 18-35 Years U/S","94) $200 Amateur Owner Hunter 3'3"" 18-35 Years U/S",counts.php
29345,95,,"$400 Amateur Owner Hunter 3'3"" 36+","95) $400 Amateur Owner Hunter 3'3"" 36+",counts.php
29346,96,,"$400 Amateur Owner Hunter 3'3"" 36+ (1st rnd Classic)","96) $400 Amateur Owner Hunter 3'3"" 36+ (1st rnd Classic)",counts.php
29347,97,,"$400 Amateur Owner Hunter 3'3"" 36+","97) $400 Amateur Owner Hunter 3'3"" 36+",counts.php
29348,98,,"$400 Amateur Owner Hunter 3'3"" 36+-Handy","98) $400 Amateur Owner Hunter 3'3"" 36+-Handy",counts.php
29349,99,,"$200 Amateur Owner Hunter 3'3"" 36+ U/S","99) $200 Amateur Owner Hunter 3'3"" 36+ U/S",counts.php
29350,100,,"$600 Junior Hunter 3'6"" Small 15/U","100) $600 Junior Hunter 3'6"" Small 15/U",counts.php
29351,101,,"$600 Junior Hunter 3'6"" Small 15U (1st rnd Classic)","101) $600 Junior Hunter 3'6"" Small 15U (1st rnd Classic)",counts.php
29352,102,,"$600 Junior Hunter 3'6"" Small 15/U","102) $600 Junior Hunter 3'6"" Small 15/U",counts.php
29353,103,,"$600 Junior Hunter 3'6"" Small 15/U-Handy","103) $600 Junior Hunter 3'6"" Small 15/U-Handy",counts.php
29354,104,,"$350 Junior Hunter 3'6"" Small 15/U U/S","104) $350 Junior Hunter 3'6"" Small 15/U U/S",counts.php
29355,105,,"$600 Junior Hunter 3'6"" Small 16-17","105) $600 Junior Hunter 3'6"" Small 16-17",counts.php
29356,106,,"$600 Junior Hunter 3'6"" Small 16-17 (1st rnd Classic)","106) $600 Junior Hunter 3'6"" Small 16-17 (1st rnd Classic)",counts.php
29357,107,,"$600 Junior Hunter 3'6"" Small 16-17","107) $600 Junior Hunter 3'6"" Small 16-17",counts.php
29358,108,,"$600 Junior Hunter 3'6"" Small 16-17-Handy","108) $600 Junior Hunter 3'6"" Small 16-17-Handy",counts.php
29359,109,,"$350 Junior Hunter 3'6"" Small 16-17 U/S","109) $350 Junior Hunter 3'6"" Small 16-17 U/S",counts.php
29360,110,,"$600 Junior Hunter 3'6"" Large 15/U","110) $600 Junior Hunter 3'6"" Large 15/U",counts.php
29361,111,,"$600 Junior Hunter 3'6"" Large 15U (1st rnd Classic)","111) $600 Junior Hunter 3'6"" Large 15U (1st rnd Classic)",counts.php
29362,112,,"$600 Junior Hunter 3'6"" Large 15/U","112) $600 Junior Hunter 3'6"" Large 15/U",counts.php
29363,113,,"$600 Junior Hunter 3'6"" Large 15/U-Handy","113) $600 Junior Hunter 3'6"" Large 15/U-Handy",counts.php
29364,114,,"$350 Junior Hunter 3'6"" Large 15/U U/S","114) $350 Junior Hunter 3'6"" Large 15/U U/S",counts.php
29365,115,,"$600 Junior Hunter 3'6"" Large 16-17","115) $600 Junior Hunter 3'6"" Large 16-17",counts.php
29366,116,,"$600 Junior Hunter 3'6"" Large 16-17 (1st rnd Classic)","116) $600 Junior Hunter 3'6"" Large 16-17 (1st rnd Classic)",counts.php
29367,117,,"$600 Junior Hunter 3'6"" Large 16-17","117) $600 Junior Hunter 3'6"" Large 16-17",counts.php
29368,118,,"$600 Junior Hunter 3'6"" Large 16-17-Handy","118) $600 Junior Hunter 3'6"" Large 16-17-Handy",counts.php
29369,119,,"$350 Junior Hunter 3'6"" Large 16-17 U/S","119) $350 Junior Hunter 3'6"" Large 16-17 U/S",counts.php
33443,120,,"$400 Junior Hunter 3'3"" 15 & U","120) $400 Junior Hunter 3'3"" 15 & U",counts.php
33444,121,,"$400 Junior Hunter 3'3"" 15 & U (1st rnd Classic)","121) $400 Junior Hunter 3'3"" 15 & U (1st rnd Classic)",counts.php
33445,122,,"$400 Junior Hunter 3'3"" 15 & U","122) $400 Junior Hunter 3'3"" 15 & U",counts.php
33446,123,,"$400 Junior Hunter 3'3"" 15 & U- Handy","123) $400 Junior Hunter 3'3"" 15 & U- Handy",counts.php
33447,124,,"$200 Junior Hunter 3'3"" 15 & U U/S","124) $200 Junior Hunter 3'3"" 15 & U U/S",counts.php
33448,125,,"$400 Junior Hunter 3'3"" 16-17","125) $400 Junior Hunter 3'3"" 16-17",counts.php
33449,126,,"$400 Junior Hunter 3'3"" 16-17 (1st rnd Classic)","126) $400 Junior Hunter 3'3"" 16-17 (1st rnd Classic)",counts.php
33450,127,,"$400 Junior Hunter 3'3"" 16-17","127) $400 Junior Hunter 3'3"" 16-17",counts.php
33451,128,,"$400 Junior Hunter 3'3"" 16-17 - Handy","128) $400 Junior Hunter 3'3"" 16-17 - Handy",counts.php
33452,129,,"$200 Junior Hunter 3'3"" 16-17 U/S","129) $200 Junior Hunter 3'3"" 16-17 U/S",counts.php
29380,150,,"$250 Green Pony Conf Hunter- Small 2'3""","150) $250 Green Pony Conf Hunter- Small 2'3""",counts.php
29381,151,,"$250 Green Pony Hunter Sm 2'3"" (1st rnd Classic)","151) $250 Green Pony Hunter Sm 2'3"" (1st rnd Classic)",counts.php
28945,152,,"$250 Green Pony Hunter Sm 2'3""","152) $250 Green Pony Hunter Sm 2'3""",counts.php
28946,153,,"$250 Green Pony Hunter Sm 2'3""","153) $250 Green Pony Hunter Sm 2'3""",counts.php
28947,154,,"$100 Green Pony Hunter Sm 2'3"" U/S","154) $100 Green Pony Hunter Sm 2'3"" U/S",counts.php
28948,156,,"$250 Green Pony Conf Hunter- Med 2'6""","156) $250 Green Pony Conf Hunter- Med 2'6""",counts.php
28949,157,,"$250 Green Pony Hunter Med 2'6"" (1st rnd Classic)","157) $250 Green Pony Hunter Med 2'6"" (1st rnd Classic)",counts.php
28951,158,,"$250 Green Pony Hunter Med 2'6""","158) $250 Green Pony Hunter Med 2'6""",counts.php
28952,159,,"$250 Green Pony Hunter Med 2'6""","159) $250 Green Pony Hunter Med 2'6""",counts.php
28953,160,,"$100 Green Pony Hunter Med 2'6"" U/S","160) $100 Green Pony Hunter Med 2'6"" U/S",counts.php
