class_key,show_no,class_no,class_number,class_name,entry_count
14906|29275,14906,29275,1,High Performance Conformation Hunter-Model,0
14906|29276,14906,29276,2,$500 High Performance Conformation Hunter,0
14906|29277,14906,29277,3,$500 High Performance Conformation Hunter,0
14906|29278,14906,29278,4,$500 High Performance Conformation Hunter,0
14906|29279,14906,29279,5,$500 High Performance Conformation Hunter-Handy,0
14906|29280,14906,29280,6,$200 High Performance Conformation Hunter U/S,0
14906|29281,14906,29281,7,Green Conformation Hunter-Model,0
14906|29282,14906,29282,8,$400 Green Conformation Hunter,0
14906|29283,14906,29283,9,$400 Green Conformation Hunter,0
14906|29284,14906,29284,10,$400 Green Conformation Hunter,0
14906|29285,14906,29285,11,$400 Green Conformation Hunter-Handy,0
14906|29286,14906,29286,12,$150 Green Conformation Hunter U/S,0
14906|29311,14906,29311,13,$700 High Performance Hunter 4',1
14906|29310,14906,29310,14,$700 High Performance Hunter 4',1
14906|29309,14906,29309,15,$700 High Performance Hunter 4',1
14906|29308,14906,29308,16,$700 High Performance Hunter-Handy 4',1
14906|29307,14906,29307,17,$300 High Performance Hunter U/S 4',1
14906|29287,14906,29287,18,"$600 Green Hunter 3'9""",0
14906|29288,14906,29288,19,"$600 Green Hunter 3'9""",0
14906|29289,14906,29289,20,"$600 Green Hunter 3'9"" (Incentive Score)",0
14906|29290,14906,29290,21,"$600 Green Hunter 3'9""-Handy",0
14906|29291,14906,29291,22,"$200 Green Hunter 3'9"" U/S",0
14906|29292,14906,29292,23,"$600 Green Hunter 3'6""",2
14906|29293,14906,29293,24,"$600 Green Hunter 3'6""",2
14906|29294,14906,29294,25,"$600 Green Hunter 3'6"" (Incentive Score)",2
14906|29295,14906,29295,26,"$600 Green Hunter 3'6""-Handy",2
14906|29296,14906,29296,27,"$200 Green Hunter 3'6"" U/S",1
14906|29297,14906,29297,28,"$350 Green Hunter 3'3""",8
14906|29298,14906,29298,29,"$350 Green Hunter 3'3""",8
14906|29299,14906,29299,30,"$350 Green Hunter 3'3"" (Incentive Score)",8
14906|29300,14906,29300,31,"$350 Green Hunter 3'3""",8
14906|29301,14906,29301,32,"$150 Green Hunter 3'3"" U/S",8
14906|29302,14906,29302,33,"$350 Green Hunter 3'0""",9
14906|29303,14906,29303,34,"$350 Green Hunter 3'0""",9
14906|29304,14906,29304,35,"$350 Green Hunter 3'0"" (Incentive Score)",9
14906|29305,14906,29305,36,"$350 Green Hunter 3'0""",9
14906|29306,14906,29306,37,"$150 Green Hunter 3'0"" U/S",9
14906|29332,14906,29332,38,"$400 Performance Hunter 3'6""",5
14906|29382,14906,29382,39,"$400 Performance Hunter 3'6""",5
14906|29383,14906,29383,40,"$400 Performance Hunter 3'6""",7
14906|29384,14906,29384,41,"$400 Performance Hunter 3'6""-Handy",7
14906|29385,14906,29385,42,"$150 Performance Hunter 3'6"" U/S",4
14906|29327,14906,29327,43,"$350 Performance Hunter 3'3""",12
14906|29328,14906,29328,44,"$350 Performance Hunter 3'3""",11
14906|29329,14906,29329,45,"$350 Performance Hunter 3'3""",13
14906|29330,14906,29330,46,"$350 Performance Hunter 3'3""-Handy",13
14906|29331,14906,29331,47,"$150 Performance Hunter 3'3"" U/S",5
14906|29312,14906,29312,48,"$350 Young Hunter 2'9""",4
14906|29313,14906,29313,49,"$350 Young Hunter 2'9""",4
14906|29314,14906,29314,50,"$350 Young Hunter 2'9""",4
14906|29315,14906,29315,51,"$350 Young Hunter 2'9""",4
14906|29316,14906,29316,52,"$150 Young Hunter 2'9"" U/S",4
14906|29317,14906,29317,53,$350 Young Hunter 3',4
14906|29318,14906,29318,54,$350 Young Hunter 3',4
14906|29319,14906,29319,55,$350 Young Hunter 3',4
14906|29320,14906,29320,56,$350 Young Hunter 3',4
14906|29321,14906,29321,57,$150 Young Hunter 3' U/S,4
14906|29322,14906,29322,58,"$350 Young Hunter 3'3""",3
14906|29323,14906,29323,59,"$350 Young Hunter 3'3""",4
14906|29324,14906,29324,60,"$350 Young Hunter 3'3""",3
14906|29325,14906,29325,61,"$350 Young Hunter 3'3""",3
14906|29326,14906,29326,62,"$150 Young Hunter 3'3"" U/S",3
14906|29386,14906,29386,80,"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs",2
14906|29387,14906,29387,81,"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs (1st rnd Classic)",2
14906|29388,14906,29388,82,"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs",2
14906|29333,14906,29333,83,"$600 Amateur Owner Hunter 3'6"" 18-35 Yrs-Handy",2
14906|29334,14906,29334,84,"$350 Amateur Owner Hunter 3'6"" 18-35 Yrs U/S",2
14906|29335,14906,29335,85,"$600 Amateur Owner Hunter 3'6"" 36+",1
14906|29336,14906,29336,86,"$600 Amateur Owner Hunter 3'6"" 36+ (1st rnd Classic)",1
14906|29337,14906,29337,87,"$600 Amateur Owner Hunter 3'6"" 36+",1
14906|29338,14906,29338,88,"$600 Amateur Owner Hunter 3'6"" 36+-Handy",1
14906|29339,14906,29339,89,"$350 Amateur Owner Hunter 3'6"" 36+ U/S",1
14906|29340,14906,29340,90,"$400 Amateur Owner Hunter 3'3"" 18-35",6
14906|29341,14906,29341,91,"$400 Amateur Owner Hunter 3'3"" 18-35 Years (1st rnd Classic",6
14906|29342,14906,29342,92,"$400 Amateur Owner Hunter 3'3"" 18-35",6
14906|29343,14906,29343,93,"$400 Amateur Owner Hunter 3'3"" 18-35 Years-Handy",6
14906|29344,14906,29344,94,"$200 Amateur Owner Hunter 3'3"" 18-35 Years U/S",6
14906|29345,14906,29345,95,"$400 Amateur Owner Hunter 3'3"" 36+",1
14906|29346,14906,29346,96,"$400 Amateur Owner Hunter 3'3"" 36+ (1st rnd Classic)",1
14906|29347,14906,29347,97,"$400 Amateur Owner Hunter 3'3"" 36+",1
14906|29348,14906,29348,98,"$400 Amateur Owner Hunter 3'3"" 36+-Handy",1
14906|29349,14906,29349,99,"$200 Amateur Owner Hunter 3'3"" 36+ U/S",1
14906|29350,14906,29350,100,"$600 Junior Hunter 3'6"" Small 15/U",1
14906|29351,14906,29351,101,"$600 Junior Hunter 3'6"" Small 15U (1st rnd Classic)",1
14906|29352,14906,29352,102,"$600 Junior Hunter 3'6"" Small 15/U",1
14906|29353,14906,29353,103,"$600 Junior Hunter 3'6"" Small 15/U-Handy",1
14906|29354,14906,29354,104,"$350 Junior Hunter 3'6"" Small 15/U U/S",1
14906|29355,14906,29355,105,"$600 Junior Hunter 3'6"" Small 16-17",0
14906|29356,14906,29356,106,"$600 Junior Hunter 3'6"" Small 16-17 (1st rnd Classic)",0
14906|29357,14906,29357,107,"$600 Junior Hunter 3'6"" Small 16-17",0
14906|29358,14906,29358,108,"$600 Junior Hunter 3'6"" Small 16-17-Handy",0
14906|29359,14906,29359,109,"$350 Junior Hunter 3'6"" Small 16-17 U/S",0
14906|29360,14906,29360,110,"$600 Junior Hunter 3'6"" Large 15/U",1
14906|29361,14906,29361,111,"$600 Junior Hunter 3'6"" Large 15U (1st rnd Classic)",1
14906|29362,14906,29362,112,"$600 Junior Hunter 3'6"" Large 15/U",1
14906|29363,14906,29363,113,"$600 Junior Hunter 3'6"" Large 15/U-Handy",1
14906|29364,14906,29364,114,"$350 Junior Hunter 3'6"" Large 15/U U/S",1
14906|29365,14906,29365,115,"$600 Junior Hunter 3'6"" Large 16-17",0
14906|29366,14906,29366,116,"$600 Junior Hunter 3'6"" Large 16-17 (1st rnd Classic)",0
14906|29367,14906,29367,117,"$600 Junior Hunter 3'6"" Large 16-17",0
14906|29368,14906,29368,118,"$600 Junior Hunter 3'6"" Large 16-17-Handy",0
14906|29369,14906,29369,119,"$350 Junior Hunter 3'6"" Large 16-17 U/S",0
14906|33443,14906,33443,120,"$400 Junior Hunter 3'3"" 15 & U",2
14906|33444,14906,33444,121,"$400 Junior Hunter 3'3"" 15 & U (1st rnd Classic)",2
14906|33445,14906,33445,122,"$400 Junior Hunter 3'3"" 15 & U",2
14906|33446,14906,33446,123,"$400 Junior Hunter 3'3"" 15 & U- Handy",2
14906|33447,14906,33447,124,"$200 Junior Hunter 3'3"" 15 & U U/S",2
14906|33448,14906,33448,125,"$400 Junior Hunter 3'3"" 16-17",2
14906|33449,14906,33449,126,"$400 Junior Hunter 3'3"" 16-17 (1st rnd Classic)",2
14906|33450,14906,33450,127,"$400 Junior Hunter 3'3"" 16-17",2
14906|33451,14906,33451,128,"$400 Junior Hunter 3'3"" 16-17 - Handy",2
14906|33452,14906,33452,129,"$200 Junior Hunter 3'3"" 16-17 U/S",2
14906|29380,14906,29380,150,"$250 Green Pony Conf Hunter- Small 2'3""",0
14906|29381,14906,29381,151,"$250 Green Pony Hunter Sm 2'3"" (1st rnd Classic)",0
14906|28945,14906,28945,152,"$250 Green Pony Hunter Sm 2'3""",0
14906|28946,14906,28946,153,"$250 Green Pony Hunter Sm 2'3""",0
14906|28947,14906,28947,154,"$100 Green Pony Hunter Sm 2'3"" U/S",0
14906|28948,14906,28948,156,"$250 Green Pony Conf Hunter- Med 2'6""",2
14906|28949,14906,28949,157,"$250 Green Pony Hunter Med 2'6"" (1st rnd Classic)",2
14906|28951,14906,28951,158,"$250 Green Pony Hunter Med 2'6""",2
14906|28952,14906,28952,159,"$250 Green Pony Hunter Med 2'6""",2
14906|28953,14906,28953,160,"$100 Green Pony Hunter Med 2'6"" U/S",2
14906|28954,14906,28954,162,"$250 Green Pony Conf Hunter- Lg 2'9""",1
14906|28955,14906,28955,163,"$250 Green Pony Hunter Lg 2'9"" (1st rnd Classic)",1
14906|28956,14906,28956,164,"$250 Green Pony Hunter Lg 2'9""",1
14906|28957,14906,28957,165,"$250 Green Pony Hunter Lg 2'9""",1
14906|28958,14906,28958,166,"$100 Green Pony Hunter Lg 2'9"" U/S",1
14906|28959,14906,28959,170,"$375 Pony Conf Hunter- Sm 2'3""",4
14906|28960,14906,28960,171,"$375 Pony Hunter Sm 2'3"" (1st rnd Classic)",4
