entry_no,horse,rider,trainer,source
146,Tulara Cascara,Aaron Vale,Ben Taylor,class_oog.php
123,Cordis Totalis Z,Selcuk Koksalan,Selcuk Koksalan,class_oog.php
153,Champion League,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
114,Mestizo Ls,Lukene Arenas,Lukene Arenas,class_oog.php
104,Helia Ffh,Kyle Dewar,Kyle Dewar,class_oog.php
158,Icare Chavannais,Priscilla Broger,Priscilla Broger,class_oog.php
132,Hop Mouche,Laura Gaither,Laura Gaither,class_oog.php
160,The Golden Road,Camille Maynard,Camille Maynard,class_oog.php
111,Cascais Hc,Juan J. Bancalari,Juan M. Bolanos,class_oog.php
126,Hendrick Des Forets,Jodie Camberg,Megan Wexler,class_oog.php
115,Goliath De L’ Eldorado,Declan Egan,Declan Egan,class_oog.php
106,Kadar Hbc,Simon Arango,Juan M. Bolanos,class_oog.php
147,Effixe Du Melnire,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
155,Nimbus Rfb,Aaron Vale,Ben Taylor,class_oog.php
159,S&l Protector,Ciaran Flynn,Michael J. Mccormick,class_oog.php
156,Yalambis Ikon,Maddison Stephen,Maddison Stephen,class_oog.php
124,Montecristo,Selcuk Koksalan,Selcuk Koksalan,class_oog.php
154,Hagelin,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
103,Hutin De L'abbaye,Kyle Dewar,Kyle Dewar,class_oog.php
120,Charly Brown 353,Maya Denis,Megan Wexler,class_oog.php
105,Hopefull Menjoulet,Taylor St Jacques,Taylor St Jacques,class_oog.php
125,Conthinder,Sophia Ayers,Ben Taylor,class_oog.php
108,Chriszi,David Cameron,David Cameron,class_oog.php
134,Hollywood V,Amanda Gomez,Pamela Gomez,class_oog.php
107,Conthalando Ps,Manuel G. Torres,Manuel G. Torres,class_oog.php
157,Verdini D'houtveld Z,Lauren Balcomb,Sharn L. Wordley,class_oog.php
141,Sternmarke 3,Wilton J. Porter,Wilton J. Porter,class_oog.php
151,Contigo Z,Samuel Parot,Samuel Parot,class_oog.php
143,Pmf Inventiv,Angela Swanson,Angela Swanson,class_oog.php
145,Chutter Du Rouet Ps,Aaron Vale,Ben Taylor,class_oog.php
113,Arezzo Z,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
133,My Diamant,Laura Gaither,Laura Gaither,class_oog.php
162,Hakatann De Lojou,Ashlee Bond,Ashlee Bond,class_oog.php
161,Jason Brown,Flavio Montenegro,Ben Taylor,class_oog.php
122,Feinschnitt,Dominique Gonzalez,Terry Gonzalez,class_oog.php
112,Fraxinus Des Coeuries,Juan J. Bancalari,Juan M. Bolanos,class_oog.php
129,Mtm Can Talk To Me,Tracy Fenney,Michael J. Mccormick,class_oog.php
142,Puccini Van Orti,Lia Screnci,Lia Screnci,class_oog.php
109,Elalisa,Maleah Lang Mcmahon,Maleah Lang Mcmahon,class_oog.php
127,Artic Jt Z,Captain Brian Cournane,Captain Brian Cournane,class_oog.php
