show_no,ring_day_no,ring_no,ring_name,date_text,class_no,event_id,event_name,class_number,class_payout,class_name,time_text,time,dow,focus_day,iso_date,entry_count,event_type,oc_id,live_flag,source
14906,3860,670,WEC GRAND ARENA,"Wednesday, June 10, 2026",29237,58939,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",2201,"$4,000",4CYTE 1.40m CSI2* Two Phase 222.1.4.3,8:00 am,08:00:00,WED,2026-06-10,2026-06-10,29,1,0,0,update_schedule.php
14906,3860,670,WEC GRAND ARENA,"Wednesday, June 10, 2026",28941,58940,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",2202,"$32,000",4CYTE 1.45m CSI2* Speed 220.2.1.1,10:00 am,10:00:00,WED,2026-06-10,2026-06-10,27,1,3860,0,update_schedule.php
14906,3860,670,WEC GRAND ARENA,"Wednesday, June 10, 2026",29134,58941,645) $1000 1.35m Jumper II.1,645,$1000,1.35m Jumper II.1,11:45 am,11:45:00,WED,2026-06-10,2026-06-10,71,1,0,0,update_schedule.php
14906,3860,670,WEC GRAND ARENA,"Wednesday, June 10, 2026",29172,58942,692) $250 1.30m Young Jumper II.1,692,$250,1.30m Young Jumper II.1,2:45 pm,14:45:00,WED,2026-06-10,2026-06-10,28,1,0,0,update_schedule.php
14906,4174,684,INDOOR 6,"Wednesday, June 10, 2026",29164,58965,633) 1.15m Jumper II.1,633,,1.15m Jumper II.1,7:30 am,07:30:00,WED,2026-06-10,2026-06-10,45,1,0,0,update_schedule.php
14906,4174,684,INDOOR 6,"Wednesday, June 10, 2026",29128,58966,636) $500 1.20m Jumper II.1,636,$500,1.20m Jumper II.1,10:00 am,10:00:00,WED,2026-06-10,2026-06-10,60,1,0,0,update_schedule.php
14906,4174,684,INDOOR 6,"Wednesday, June 10, 2026",29131,58967,642) $1000 1.30m Jumper II.1,642,$1000,1.30m Jumper II.1,1:00 pm,13:00:00,WED,2026-06-10,2026-06-10,23,1,0,0,update_schedule.php
14906,4174,684,INDOOR 6,"Wednesday, June 10, 2026",29169,58968,689) $250 1.20m Young Jumper II.1,689,$250,1.20m Young Jumper II.1,2:30 pm,14:30:00,WED,2026-06-10,2026-06-10,21,1,0,0,update_schedule.php
14906,4174,684,INDOOR 6,"Wednesday, June 10, 2026",29166,58969,686) 1.10m Young Jumper II,686,,1.10m Young Jumper II,4:00 pm,16:00:00,WED,2026-06-10,2026-06-10,23,1,0,0,update_schedule.php
14906,4182,683,INDOOR 5,"Wednesday, June 10, 2026",29394,59000,624) .95m Jumper II.1,624,,.95m Jumper II.1,8:00 am,08:00:00,WED,2026-06-10,2026-06-10,25,1,0,0,update_schedule.php
