ring,ring_no,ring_day_no,class_order,class_no,class_label,time,schedule_entry_count,loaded_entries,coverage
INDOOR 1,675,3889,1,29275,1) High Performance Conformation Hunter-Model,,0,0,match
INDOOR 1,675,3889,10,29293,24) $600 Green Hunter 3'6,,1,1,match
INDOOR 1,675,3889,11,29296,27) $200 Green Hunter 3'6,,1,1,match
INDOOR 1,675,3889,12,29287,18) $600 Green Hunter 3'9,,0,0,match
INDOOR 1,675,3889,13,29288,19) $600 Green Hunter 3'9,,0,0,match
INDOOR 1,675,3889,14,29291,22) $200 Green Hunter 3'9,,0,0,match
INDOOR 1,675,3889,15,29311,13) $700 High Performance Hunter 4',,1,1,match
INDOOR 1,675,3889,16,29310,14) $700 High Performance Hunter 4',,1,1,match
INDOOR 1,675,3889,17,29332,38) $400 Performance Hunter 3'6,,1,1,match
INDOOR 1,675,3889,18,29382,39) $400 Performance Hunter 3'6,,0,0,match
INDOOR 1,675,3889,19,29071,245) USHJA Hunter 3'3,,4,4,match
INDOOR 1,675,3889,2,29281,7) Green Conformation Hunter-Model,,0,0,match
INDOOR 1,675,3889,20,29072,246) USHJA Hunter 3'3,,4,4,match
INDOOR 1,675,3889,21,29297,28) $350 Green Hunter 3'3,,3,3,match
INDOOR 1,675,3889,22,29298,29) $350 Green Hunter 3'3,,3,3,match
INDOOR 1,675,3889,23,29301,32) $150 Green Hunter 3'3,,3,3,match
INDOOR 1,675,3889,24,29327,43) $350 Performance Hunter 3'3,,5,5,match
INDOOR 1,675,3889,25,29328,44) $350 Performance Hunter 3'3,,5,5,match
INDOOR 1,675,3889,26,29331,47) $150 Performance Hunter 3'3,,2,2,match
INDOOR 1,675,3889,3,29276,2) $500 High Performance Conformation Hunter,,0,0,match
INDOOR 1,675,3889,4,29277,3) $500 High Performance Conformation Hunter,,0,0,match
INDOOR 1,675,3889,5,29280,6) $200 High Performance Conformation Hunter U/S,,0,0,match
INDOOR 1,675,3889,6,29282,8) $400 Green Conformation Hunter,,0,0,match
INDOOR 1,675,3889,7,29283,9) $400 Green Conformation Hunter,,0,0,match
INDOOR 1,675,3889,8,29286,12) $150 Green Conformation Hunter U/S,,0,0,match
INDOOR 1,675,3889,9,29292,23) $600 Green Hunter 3'6,,0,0,match
INDOOR 2,676,3895,1,29066,275) USHJA Hunter 3',,4,4,match
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,,8,8,match
INDOOR 2,676,3895,11,29312,48) $350 Young Hunter 2'9,,3,3,match
INDOOR 2,676,3895,12,29313,49) $350 Young Hunter 2'9,,3,3,match
INDOOR 2,676,3895,13,29316,52) $150 Young Hunter 2'9,,3,3,match
