ring,ring_no,ring_day_no,class_order,class_no,class_label,entry_order,entry_no,horse,rider,trainer,source,order_status
INDOOR 1,675,3889,10,29293,24) $600 Green Hunter 3'6,1,1191,Wordsmith,Victoria Free Knott,Stephanie Free,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,11,29296,27) $200 Green Hunter 3'6,1,1191,Wordsmith,Victoria Free Knott,Stephanie Free,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,15,29311,13) $700 High Performance Hunter 4',1,2827,Lord Carlino,Alexandra Hird,August Torsilieri,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,16,29310,14) $700 High Performance Hunter 4',1,2827,Lord Carlino,Alexandra Hird,August Torsilieri,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,17,29332,38) $400 Performance Hunter 3'6,1,1790,Cataumet,Lauren Schweppe,Lauren Schweppe,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,19,29071,245) USHJA Hunter 3'3,1,1749,Coffee,Kirsten L. Malacarne,George J. Bessette,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,19,29071,245) USHJA Hunter 3'3,2,1876,Churchill Blue,Dorothy Douglas,Tara G. Bostwick,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,19,29071,245) USHJA Hunter 3'3,3,1976,Debonair,Jennifer Tate,Jennifer Tate,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,19,29071,245) USHJA Hunter 3'3,4,2542,Sunkist,Timothy Maddrix,Terry L. Brown,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,20,29072,246) USHJA Hunter 3'3,1,1749,Coffee,Kirsten L. Malacarne,George J. Bessette,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,20,29072,246) USHJA Hunter 3'3,2,1876,Churchill Blue,Reagan Williams,Tara G. Bostwick,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,20,29072,246) USHJA Hunter 3'3,3,1976,Debonair,Jennifer Tate,Jennifer Tate,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,20,29072,246) USHJA Hunter 3'3,4,2542,Sunkist,Timothy Maddrix,Terry L. Brown,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,21,29297,28) $350 Green Hunter 3'3,1,1576,Cadenza,Kelsey Duffy,Kelsey Duffy,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,21,29297,28) $350 Green Hunter 3'3,2,2329,Mtm Rico Suave,Tracy Fenney,Michael J. Mccormick,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,21,29297,28) $350 Green Hunter 3'3,3,2867,Chef Special,Tracy Fenney,Michael J. Mccormick,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,22,29298,29) $350 Green Hunter 3'3,1,1576,Cadenza,Kelsey Duffy,Kelsey Duffy,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,22,29298,29) $350 Green Hunter 3'3,2,2329,Mtm Rico Suave,Tracy Fenney,Michael J. Mccormick,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,22,29298,29) $350 Green Hunter 3'3,3,2867,Chef Special,Tracy Fenney,Michael J. Mccormick,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,23,29301,32) $150 Green Hunter 3'3,1,1576,Cadenza,Kelsey Duffy,Kelsey Duffy,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,23,29301,32) $150 Green Hunter 3'3,2,2329,Mtm Rico Suave,Tracy Fenney,Michael J. Mccormick,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,23,29301,32) $150 Green Hunter 3'3,3,2867,Chef Special,Tracy Fenney,Michael J. Mccormick,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,24,29327,43) $350 Performance Hunter 3'3,1,1098,Royal Mark,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,24,29327,43) $350 Performance Hunter 3'3,2,1428,Insightful,Lanie Nash,Dawn Hersey,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,24,29327,43) $350 Performance Hunter 3'3,3,1749,Coffee,Kirsten L. Malacarne,George J. Bessette,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,24,29327,43) $350 Performance Hunter 3'3,4,1976,Debonair,Jennifer Tate,Jennifer Tate,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,24,29327,43) $350 Performance Hunter 3'3,5,2664,Callisto,Angela Gais,Angela Gais,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,25,29328,44) $350 Performance Hunter 3'3,1,1098,Royal Mark,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,25,29328,44) $350 Performance Hunter 3'3,2,1428,Insightful,Lanie Nash,Dawn Hersey,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,25,29328,44) $350 Performance Hunter 3'3,3,1749,Coffee,Kirsten L. Malacarne,George J. Bessette,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,25,29328,44) $350 Performance Hunter 3'3,4,1976,Debonair,Jennifer Tate,Jennifer Tate,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,25,29328,44) $350 Performance Hunter 3'3,5,2664,Callisto,Angela Gais,Angela Gais,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,26,29331,47) $150 Performance Hunter 3'3,1,1098,Royal Mark,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php,NOT A POSTED ORDER
INDOOR 1,675,3889,26,29331,47) $150 Performance Hunter 3'3,2,2664,Callisto,Angela Gais,Angela Gais,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,1,29066,275) USHJA Hunter 3',1,2049,Top Secret Hk,Helen Goddard,Helen Goddard,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,1,29066,275) USHJA Hunter 3',2,2603,Dominus Z,Charlotte H. Wiese,Jasmine Walsh,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,1,29066,275) USHJA Hunter 3',3,2604,Hand Painted,Jasmine Walsh,Jasmine Walsh,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,1,29066,275) USHJA Hunter 3',4,2608,Vincent Van Gough,Jasmine Walsh,Jasmine Walsh,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,1,1453,Childhood Dream,Lanie Nash,Dawn Hersey,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,2,2387,Winterfells Castle Black,Sierra Montgomery,Lisa Hasenbeck,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,3,2522,Remix De Ganad,Alexandra Hird,August Torsilieri,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,4,2729,Clearville,Emily Kowit,Heather Froehlich Cortell,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,5,2820,Peyton Cm Kapade,Angelina M Palmeri,Derek Van Der Burgh,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,6,1848,Mystery Man,Schuyler Dayner,Heather Dayner,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,7,2941,Nightfall,Windsor Ryan,Traci A. Weston,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,10,29260,274) USHJA Hunter 2'9,8,2974,St. Nick,Kalli Core,Bobby Boulger,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,11,29312,48) $350 Young Hunter 2'9,1,1483,Thunder Shark,Fabian Herrera,Fabian Herrera,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,11,29312,48) $350 Young Hunter 2'9,2,1562,Raja J,Morgan Cusick,Derek Van Der Burgh,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,11,29312,48) $350 Young Hunter 2'9,3,2066,Red Admiral,Elizabeth C. de Golian,Elizabeth C. de Golian,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,12,29313,49) $350 Young Hunter 2'9,1,1483,Thunder Shark,Fabian Herrera,Fabian Herrera,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,12,29313,49) $350 Young Hunter 2'9,2,1562,Raja J,Morgan Cusick,Derek Van Der Burgh,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,12,29313,49) $350 Young Hunter 2'9,3,2066,Red Admiral,Elizabeth C. de Golian,Elizabeth C. de Golian,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,13,29316,52) $150 Young Hunter 2'9,1,1483,Thunder Shark,Fabian Herrera,Fabian Herrera,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,13,29316,52) $150 Young Hunter 2'9,2,1562,Raja J,Morgan Cusick,Derek Van Der Burgh,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,13,29316,52) $150 Young Hunter 2'9,3,2066,Red Admiral,Elizabeth C. de Golian,Elizabeth C. de Golian,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,14,29317,53) $350 Young Hunter 3',1,2972,Cartier De Muze,Lincoln Russell,Lincoln Russell,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,15,29318,54) $350 Young Hunter 3',1,2972,Cartier De Muze,Lincoln Russell,Lincoln Russell,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,16,29321,57) $150 Young Hunter 3' U/S,1,2972,Cartier De Muze,Lincoln Russell,Lincoln Russell,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,18,29323,59) $350 Young Hunter 3'3,1,2972,Cartier De Muze,Lincoln Russell,Lincoln Russell,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,2,29067,276) USHJA Hunter 3',1,2049,Top Secret Hk,Helen Goddard,Helen Goddard,class_oog.php,NOT A POSTED ORDER
INDOOR 2,676,3895,2,29067,276) USHJA Hunter 3',2,2603,Dominus Z,Charlotte H. Wiese,Jasmine Walsh,class_oog.php,NOT A POSTED ORDER
