show_no,focus_day,ring_no,ring_name,ring_day_no,class_no,event_name,entry_order,entry_no,horse,rider,trainer,order_status
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",1,146,Tulara Cascara,Aaron Vale,Ben Taylor,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",2,123,Cordis Totalis Z,Selcuk Koksalan,Selcuk Koksalan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",3,153,Champion League,Sharn L. Wordley,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",4,114,Mestizo Ls,Lukene Arenas,Lukene Arenas,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",5,104,Helia Ffh,Kyle Dewar,Kyle Dewar,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",6,158,Icare Chavannais,Priscilla Broger,Priscilla Broger,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",7,132,Hop Mouche,Laura Gaither,Laura Gaither,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",8,160,The Golden Road,Camille Maynard,Camille Maynard,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",9,111,Cascais Hc,Juan J. Bancalari,Juan M. Bolanos,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",10,126,Hendrick Des Forets,Jodie Camberg,Megan Wexler,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",11,115,Goliath De L’ Eldorado,Declan Egan,Declan Egan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",12,106,Kadar Hbc,Simon Arango,Juan M. Bolanos,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",13,147,Effixe Du Melnire,Juan E. Hidalgo,Juan E. Hidalgo,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",14,155,Nimbus Rfb,Aaron Vale,Ben Taylor,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",15,159,S&l Protector,Ciaran Flynn,Michael J. Mccormick,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",16,156,Yalambis Ikon,Maddison Stephen,Maddison Stephen,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",17,124,Montecristo,Selcuk Koksalan,Selcuk Koksalan,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",18,154,Hagelin,Sharn L. Wordley,Sharn L. Wordley,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",19,103,Hutin De L'abbaye,Kyle Dewar,Kyle Dewar,Class Ordered By: Custom
14906,2026-06-10,670,WEC GRAND ARENA,3860,29237,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",20,120,Charly Brown 353,Maya Denis,Megan Wexler,Class Ordered By: Custom
