show_no,ring_no,ring_name,ring_day_no,date_text,class_no,event_id,event_name,time_text,entry_count,event_type,oc_id,live_flag
14906,670,WEC GRAND ARENA,3860,"Wednesday, June 10, 2026",29237,58939,"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",,28,1,0,0
14906,670,WEC GRAND ARENA,3860,"Wednesday, June 10, 2026",28941,58940,"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",,30,1,0,0
14906,670,WEC GRAND ARENA,3860,"Wednesday, June 10, 2026",29134,58941,645) $1000 1.35m Jumper II.1,,55,1,0,0
14906,670,WEC GRAND ARENA,3860,"Wednesday, June 10, 2026",29172,58942,692) $250 1.30m Young Jumper II.1,,21,1,0,0
14906,677,INDOOR 3,3901,"Wednesday, June 10, 2026",0,58560,FEI Only,,0,5,0,0
14906,684,INDOOR 6,4174,"Wednesday, June 10, 2026",29164,58965,633) 1.15m Jumper II.1,8:00am,29,1,0,0
14906,684,INDOOR 6,4174,"Wednesday, June 10, 2026",29128,58966,636) $500 1.20m Jumper II.1,8:00am,43,1,0,0
14906,684,INDOOR 6,4174,"Wednesday, June 10, 2026",29131,58967,642) $1000 1.30m Jumper II.1,9:47am,20,1,0,0
14906,684,INDOOR 6,4174,"Wednesday, June 10, 2026",29169,58968,689) $250 1.20m Young Jumper II.1,10:37am,19,1,0,0
14906,684,INDOOR 6,4174,"Wednesday, June 10, 2026",29166,58969,686) 1.10m Young Jumper II,11:24am,16,1,0,0
14906,683,INDOOR 5,4182,"Wednesday, June 10, 2026",29394,59000,624) .95m Jumper II.1,8:00am,20,1,0,0
14906,683,INDOOR 5,4182,"Wednesday, June 10, 2026",29159,59001,627) 1.00m Jumper II.1,8:50am,38,1,0,0
14906,683,INDOOR 5,4182,"Wednesday, June 10, 2026",29125,59002,695) $100 1.0m Thoroughbred Jumper II.1,8:50am,1,1,0,0
14906,683,INDOOR 5,4182,"Wednesday, June 10, 2026",29161,59003,630) 1.10m Jumper II.1,8:52am,25,1,0,0
14906,683,INDOOR 5,4182,"Wednesday, June 10, 2026",29451,59004,683) 1.0m Young Jumpers II,8:52am,5,1,0,0
14906,683,INDOOR 5,4182,"Wednesday, June 10, 2026",29433,59005,680) .90m Young Jumpers II,8:52am,9,1,0,0
14906,675,INDOOR 1,3889,"Wednesday, June 10, 2026",29275,58613,1) High Performance Conformation Hunter-Model,,0,1,0,0
14906,675,INDOOR 1,3889,"Wednesday, June 10, 2026",29281,58614,7) Green Conformation Hunter-Model,,0,1,0,0
14906,675,INDOOR 1,3889,"Wednesday, June 10, 2026",29276,58615,2) $500 High Performance Conformation Hunter,,0,1,0,0
14906,675,INDOOR 1,3889,"Wednesday, June 10, 2026",29277,58616,3) $500 High Performance Conformation Hunter,,0,1,0,0
14906,675,INDOOR 1,3889,"Wednesday, June 10, 2026",29280,58617,6) $200 High Performance Conformation Hunter U/S,,0,1,0,0
14906,675,INDOOR 1,3889,"Wednesday, June 10, 2026",29282,58618,8) $400 Green Conformation Hunter,,0,1,0,0
14906,675,INDOOR 1,3889,"Wednesday, June 10, 2026",29283,58619,9) $400 Green Conformation Hunter,,0,1,0,0
